idFilm,namaFilm,director,cast,country,releaseYear,duration,genre,description
468,Wine Country,Amy Poehler,"Amy Poehler, Maya Rudolph, Ana Gasteyer, Rachel Dratch, Paula Pell, Emily Spivey, Tina Fey, Jason Schwartzman",United States,2019.0,104 min,Comedies,"When longtime friends meet up for a wine-soaked birthday getaway in Napa Valley, their perfectly planned weekend turns messier by the minute."
469,The Last Summer,William Bindley,"K.J. Apa, Maia Mitchell, Tyler Posey, Jacob Latimore, Halston Sage, Wolfgang Novogratz, Sosie Bacon, Jacob McCarthy, Mario Revolori, Gage Golightly, Audrey Grace Marshall",United States,2019.0,110 min,"Comedies, Romantic Movies","Teens from a Chicago high school grapple with their dreams, relationships and identities in a transformative summer before they leave for college."
470,Munafik 2,Syamsul Yusof,"Syamsul Yusof, Maya Karin, Nasir Bilal Khan, Rahim Razali, Fizz Fairuz, Fauzi Nawawi, Mawi, Ku Faridah",Malaysia,2018.0,104 min,"Horror Movies, International Movies","Haunted by terrifying visions, a Muslim healer finds his faith tested when he helps a woman locked in battle, body and soul, with a diabolical leader."
471,Someone Great,Jennifer Kaytin Robinson,"Gina Rodriguez, Brittany Snow, DeWanda Wise, Lakeith Stanfield, RuPaul Charles, Peter Vack, Alex Moffat, Rosario Dawson, Rebecca Naomi Jones, Jaboukie Young-White, Michelle Buteau, Questlove",United States,2019.0,92 min,"Comedies, Romantic Movies","On the heels of a blindsiding breakup, music journalist Jenny braces for a new beginning – and one last adventure with her closest friends."
472,The Ruthless,Renato De Maria,"Riccardo Scamarcio, Sara Serraiocco, Alessio Praticò, Alessandro Tedeschi, Marie-Ange Casta","Italy, France",2019.0,111 min,"Dramas, International Movies",A rebellious teen grows up to become one of Milan's most ambitious criminals during the golden years of the 'ndrangheta Mafia in the 1980s.
473,The Perfect Date,Chris Nelson,"Noah Centineo, Laura Marano, Camila Mendes, Odiseas Georgiadis, Matt Walsh, Joe Chrest, Carrie Lazar, Alex Biglane, Blaine Kern III, Zak Steiner",United States,2019.0,91 min,"Comedies, Romantic Movies","To earn money for college, a high schooler launches an app offering his services as a fake date. But when real feelings emerge, things get complicated."
474,Suzzanna: Buried Alive,"Rocky Soraya, Anggy Umbara","Luna Maya, Herjunot Ali, Teuku Rifnu Wikana, Verdi Solaiman, Alex Abbad",Indonesia,2018.0,126 min,"Horror Movies, International Movies","After a pregnant woman is murdered, her spirit seeks revenge against her increasingly terrified killers, who are determined to finish her off for good."
475,The Trap,Erik White,"T.I., Mike Epps, Loretta Devine, Queen Latifah, Teyana Taylor, Meagan Tandy, Stephen Bishop, Roland Powell, Joel Rush",United States,2017.0,91 min,Comedies,A man returns home to Atlanta to try and turn around his family's struggling restaurant with the help of a new chicken recipe.
476,Mercy Black,Owen Egerton,"Daniella Pineda, Elle LaMont, Janeane Garofalo, Miles Emmons, Lee Eddy, Austin Amelio, Elke Boucher-Depew, Dylan Gage, Troy Anthony Hogan, Jamy Lentz",United States,2019.0,88 min,Horror Movies,"Fifteen years after a traumatic crime, a woman is released from psychiatric care and tries to drive out an evil spirit that continues to haunt her."
477,Danur: I Can See Ghosts,Awi Suryadi,"Prilly Latuconsina, Sandrinna Michelle, Shareefa Daanish, Indra Brotolaras, Kinaryosih, Inggrid Widjanarko, Asha Kenyeri Bermudez, Wesley Andrew, Kevin Bzezovski Taroreh, Gamaharitz",Indonesia,2017.0,75 min,"Horror Movies, International Movies","Adapted from a best-selling novel, this horror film shows Risa befriending ghosts until an evil spirit tries to take her sister to the other side."
